danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,6Vc5wAMmXdKIAM7WUoEb7N,229400
0.582,0.952,-3.848,0.0731,0.00324,0.0,0.223,0.655,103.027,2Fs18NaCDuluPG1DHGw1XG,276320
0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,47Slg6LuqLaX0VodpSCvPt,220734
0.811,0.41,-8.214,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,43btz2xjMKpcmjkuRsvxyg,254493
0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000
0.606,0.826,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,1EAgPzRbK9YmdOESSMUm6P,210173
0.566,0.713,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,0LQtEJt7x0s6knb6RKdRYc,238147
0.617,0.741,-3.97,0.0311,0.131,0.0,0.0772,0.306,118.984,1D4PL9B8gOg78jiHg3FvBb,236267
0.537,0.66,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,3xdjjKMcMOFgo1eQrfbogM,298373
0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280
0.589,0.966,-4.106,0.0972,0.03,0.0,0.147,0.802,129.983,3tgZ9vmhuAY9wEoNUJskzV,204200
0.486,0.647,-8.066,0.0337,0.189,0.0,0.305,0.628,162.218,4uUwD0uYzIDjKMKQglzmD2,190747
0.464,0.405,-12.538,0.033,0.208,1.1e-05,0.0611,0.514,95.852,6ZijsJ9Oh0xgOdY0O1xCWN,236427
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
0.663,0.861,-3.398,0.109,0.0338,0.0,0.082,0.654,119.963,4356Typ82hUiFAynbLYbPn,220800
0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,4esOae7i4rqTbAu9o5Pxco,224920
0.589,0.389,-5.972,0.028,0.851,0.0,0.0772,0.501,89.1,3B5UbSndRz907IZhhmUfLi,197470
0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,6SKwQghsR8AISlxhcwyA9R,230192
0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,3w3y8KPTfNeOKPiqUTakBh,233478
0.578,0.574,-6.209,0.0454,0.196,0.0,0.083,0.301,174.152,0kN8xEmgMW9mh7UmDYHlJP,261240
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,4lLtanYk6tkMvooU0tWzG8,222091
0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,386RUes7n1uM1yfzgeUuwp,189109
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,3JvrhDOgAt6p7K8mDyZwRd,204280
0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,5uCax9HTNlzGybIStD3vDh,211467
0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,1EzrEOXmMH3G43AXT1y7pA,242947
0.705,0.63,-5.842,0.056,0.157,0.0,0.108,0.641,139.957,4tM7IvirymOPAk74Us27kD,225707
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,4E5P1XyAFtrjpiIxkydly4,182307
0.691,0.543,-8.161,0.143,0.0112,0.0,0.098,0.587,80.047,1Q1jlFs004vwB0DOznii3K,230853
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,5rb9QrpfcKFHM1EUbSIurX,250373
